token_address,receiver,amount
0x0000000000000000000000000000000000000404,0x38f046ae944021351ce5c2486dee3027c949858f,248722
0x0000000000000000000000000000000000000404,0x00cefa72151a53ed99c28080abad20d70b5092c7,46237.5
0x0000000000000000000000000000000000000404,0xd41f35b0eb9acc747ed2a603a06a45a2aa48e028,6862.64
0x0000000000000000000000000000000000000404,0x52105c8818daacccfea0fe295f92a7f3d525096a,4554.23
0x0000000000000000000000000000000000000404,0x9534259d678b1c45a9fe790b147706bdc35bbc4a,4529.84
0x0000000000000000000000000000000000000404,0xc05883d9977cd87169bc1ba82859c2b4e484abbf,246060
0x0000000000000000000000000000000000000404,0xd35dd9cea5b361f7a027df5cb2954ca34814843b,1372.08
0x0000000000000000000000000000000000000404,0xf99760b9385c009ad7c741038e1de583a941711e,1353.06
0x0000000000000000000000000000000000000404,0xca92755f758611bd0d688f3e84b8308aa7bc57fa,3855.2
0x0000000000000000000000000000000000000404,0x37b1a9af9ac1492ddd0cc15248bac9df40c9f495,273.042
0x0000000000000000000000000000000000000404,0x50b124786343eda92e715103642d4b3fc29c0ce1,15020
0x0000000000000000000000000000000000000404,0x7b136c96e73a65c3a9085edf6e4b77e75a8ff744,12890.7
0x0000000000000000000000000000000000000404,0x5ff4a620fe2e7ab1a947b7b1be5b1719d3c7f4ca,22.4007
0x0000000000000000000000000000000000000404,0x55c3518c1037d05aeac82cb71b2730dd6ce7d772,3575.39
0x0000000000000000000000000000000000000404,0x484b2eb9c04e5dab1454b1500ce41585753abbbd,23395.8
0x0000000000000000000000000000000000000404,0x86274cd9cb1890776c942001dd49c2625e8af8dc,1938.34
0x0000000000000000000000000000000000000404,0x4c69050267e0311e4a97e3f7f19ead544feda422,797.507
0x0000000000000000000000000000000000000404,0xfcadc5bd924e54c41c0302f677568a46e0fba7d3,2302.42
0x0000000000000000000000000000000000000404,0x7c9b3d4cfc78c681b7460acde2801452aef073a9,0.38652838
0x0000000000000000000000000000000000000404,0x5bd517603b41c872f15b6ae96da6095bcc94ccf1,14881.3
0x0000000000000000000000000000000000000404,0x688f17dcdbdf386e1fe2062b66fe44eef909220b,738.907
0x0000000000000000000000000000000000000404,0xae9dc6a768bb39f376ee9526b98ef0dbc13f313d,1623.81
0x0000000000000000000000000000000000000404,0x3f426e5b88bf470a05a76d6639c5829e999084a4,1419.33
0x0000000000000000000000000000000000000404,0x7fbade8710cfa4ba0001c739a2eac51cf1e3368c,153575
0x0000000000000000000000000000000000000404,0x29f3255084f0b26f0245686ebd3cc906585ac5a5,2021.92
0x0000000000000000000000000000000000000404,0x6e201fe455c368dad14a70cac54e63191705af8a,2001.11
0x0000000000000000000000000000000000000404,0xd5065ed1a8cb76a1044da1f2f8158db20b9b664b,17.3616
0x0000000000000000000000000000000000000404,0xf8264832b8e3f5bdb01be131b91f271208ca0865,5633.78
0x0000000000000000000000000000000000000404,0xb8f97a413c52b9d74b4afc211f84848c0d2b43d4,18506.9
0x0000000000000000000000000000000000000404,0x8ada0bdc001a06150eff088b7ad718348a5e53c2,43.9774
0x0000000000000000000000000000000000000404,0x254fb3a427d0168dae92b2782274b53595bca712,15074.6
0x0000000000000000000000000000000000000404,0x8c2f4f24346e633e82bc6ec87a6eb6d664203fff,9926.82
0x0000000000000000000000000000000000000404,0x6099830071fc278be4e309d2b81c9a4495a57ed8,1880.54
0x0000000000000000000000000000000000000404,0x7496d345d6127f22307b7baf1f8b93131ed4722a,12532.4
0x0000000000000000000000000000000000000404,0x50eab6fcdca2f35a1dc33692d896624c5f9ffb05,6402.87
